name,brandName,discountPercent,new_price,old_price,rating,rating_count,segment_name,brickNameText,url
Women Ikat Print Fit & Flare Dress,FUSION,29,780.00,1099.00,3.7,157,Women,Dresses & Gowns,/fusion-women-ikat-print-fit--flare-dress/p/443028162_wine
Women Embroidered Empire Dress,FUSION,29,1064.00,1499.00,3.3,40,Women,Dresses & Gowns,/fusion-women-embroidered-empire-dress/p/443032660_green
Striped A-Line Dress with Seashell Belt Detail,FUSIONIC,50,2375.00,4750.00,3,4,Women,Dresses & Gowns,/fusionic-striped-a-line-dress-with-seashell-belt-detail/p/467198485_multi
Women Embroidered Fit & Flare Dress,FUSION,0%,1299.00,1299.00,0,0,Women,Dresses & Gowns,/fusion-women-embroidered-fit--flare-dress/p/443036155_mustard
Printed Fit & Flare Dress with Embellished Yoke,AVAASA SET,52,1032.00,2149.00,4,461,Women,Dresses & Gowns,/avaasa-set-printed-fit--flare-dress-with-embellished-yoke/p/443010365_mint
Embellished A-Line Dress with Overlay,AVAASA SET,50,1575.00,3149.00,3.9,136,Women,Dresses & Gowns,/avaasa-set-embellished-a-line-dress-with-overlay/p/443013876_beige
Fit & Flare Dress with Woven Motifs,AVAASA SET,52,1128.00,2349.00,3.9,259,Women,Dresses & Gowns,/avaasa-set-fit--flare-dress-with-woven-motifs/p/443007724_lilac
Embroidered A-Line Dress,AVAASA SET,50,2575.00,5149.00,3.6,228,Women,Dresses & Gowns,/avaasa-set-embroidered-a-line-dress/p/443013890_rosegold
Block Print Layered A-Line Dress,AVAASA SET,49,1504.00,2949.00,4.1,66,Women,Dresses & Gowns,/avaasa-set-block-print-layered-a-line-dress/p/443013891_darkgreen
Floral Print Fit & Flare Dress,FUSION,52,888.00,1849.00,4,1000,Women,Dresses & Gowns,/fusion-floral-print-fit--flare-dress/p/443008911_wine
Zari Woven Straight Double Layered Kurta,AVAASA SET,29,1526.00,2149.00,3.8,78,Women,Dresses & Gowns,/avaasa-set-zari-woven-straight-double-layered-kurta/p/443020367_pistagreen
Floral Print Sequinned A-Line Dress,FUSION,49,841.00,1649.00,4.1,79,Women,Dresses & Gowns,/fusion-floral-print-sequinned-a-line-dress/p/443016372_rosegold
Embroidered Flared Dress with Belt,AVAASA SET,52,888.00,1849.00,4,552,Women,Dresses & Gowns,/avaasa-set-embroidered-flared-dress-with-belt/p/441149114_blue
Embellished Fit & Flare Dress with Dupatta,KEDAR FAB,69,1240.00,3999.00,2.6,211,Women,Dresses & Gowns,/kedar-fab-embellished-fit--flare-dress-with-dupatta/p/466387472_pink
Bandhani Print Fit & Flare Dress,FUSION,52,792.00,1649.00,3.8,2.1000,Women,Dresses & Gowns,/fusion-bandhani-print-fit--flare-dress/p/441145733_wine
Printed Fit & Flare Dress with Waist Tie-Up,FUSION,52,792.00,1649.00,3.7,1000,Women,Dresses & Gowns,/fusion-printed-fit--flare-dress-with-waist-tie-up/p/441142266_rust
Women Printed Fit & Flare Dress,FUSION,0%,1699.00,1699.00,4,6,Women,Dresses & Gowns,/fusion-women-printed-fit--flare-dress/p/443034568_mediumblue
Women Floral Print Fit & Flare Dress,FUSION,0%,999.00,999.00,3.8,10,Women,Dresses & Gowns,/fusion-women-floral-print-fit--flare-dress/p/443026346_peach
Embroidered Yoke A-Line Dress,FUSION,52,792.00,1649.00,4,310,Women,Dresses & Gowns,/fusion-embroidered-yoke-a-line-dress/p/443008085_aqua
Women Printed Fit & Flare Dress,FUSION,0%,999.00,999.00,4.1,66,Women,Dresses & Gowns,/fusion-women-printed-fit--flare-dress/p/443025564_coral
Printed Fit & Flare Chanderi Dress,AVAASA SET,29,1419.00,1999.00,3.6,316,Women,Dresses & Gowns,/avaasa-set-printed-fit--flare-chanderi-dress/p/443014970_wine
Women Foil Print Fit & Flare Dress,AVAASA SET,0%,1999.00,1999.00,4,23,Women,Dresses & Gowns,/avaasa-set-women-foil-print-fit--flare-dress/p/443025188_oldrose
Women Checked A-line Dress,YUFTA,52,1200.00,2499.00,3.3,9,Women,Dresses & Gowns,/yufta-women-checked-a-line-dress/p/467046821_pink
Floral Print Wrap Dress,DECKEDUP,65,945.00,2699.00,3.9,228,Women,Dresses & Gowns,/deckedup-floral-print-wrap-dress/p/465460405_blue
Floral Print Flared Dress,AVAASA SET,30,1679.00,2399.00,4,197,Women,Dresses & Gowns,/avaasa-set-floral-print-flared-dress/p/443015341_blue
Striped A-Line Dress with Waist Tie-Up,FUSION,49,841.00,1649.00,4.2,38,Women,Dresses & Gowns,/fusion-striped-a-line-dress-with-waist-tie-up/p/443015907_mint
Embroidered Flared Kurta,AVAASA SET,29,1952.00,2749.00,4.2,104,Women,Dresses & Gowns,/avaasa-set-embroidered-flared-kurta/p/443013881_grey
Floral Print Fit & Flare Dress,Aarke Ritu Kumar,60,1160.00,2900.00,3.6,33,Women,Dresses & Gowns,/aarke-ritu-kumar-floral-print-fit--flare-dress/p/410334496_turq
Bandhani Print Fit & Flare Dress,FUSION,52,1032.00,2149.00,3.7,1.3000,Women,Dresses & Gowns,/fusion-bandhani-print-fit--flare-dress/p/441145738_wine
Floral Print A-Line Dress,FUSION,52,696.00,1449.00,3.8,565,Women,Dresses & Gowns,/fusion-floral-print-a-line-dress/p/443008440_ltgreen
Women Printed Tiered Dress,SIYAHI,0%,899.00,899.00,4.2,30,Women,Dresses & Gowns,/siyahi-women-printed-tiered-dress/p/443027599_lime
Printed A-Line Dress with Tie-up,FUSION,52,888.00,1849.00,4,780,Women,Dresses & Gowns,/fusion-printed-a-line-dress-with-tie-up/p/441149377_mint
Women Floral Print Tiered Dress,FUSION,0%,999.00,999.00,3.7,23,Women,Dresses & Gowns,/fusion-women-floral-print-tiered-dress/p/443032706_pink
Women Printed V-Neck Flared Dress,FUSION,29,709.00,999.00,3.8,38,Women,Dresses & Gowns,/fusion-women-printed-v-neck-flared-dress/p/443032891_black
Women Printed Tiered Dress,YOUSTA,0%,699.00,699.00,3.3,25,Women,Dresses & Gowns,/yousta-women-printed-tiered-dress/p/442599789_mustard
Embroidered Gown Dress,Florely,45,1649.00,2999.00,3,19,Women,Dresses & Gowns,/florely-embroidered-gown-dress/p/466559053_teal
Geometric Print A-Line Dress with Stole,Svrnaa,0%,2799.00,2799.00,0,0,Women,Dresses & Gowns,/svrnaa-geometric-print-a-line-dress-with-stole/p/443004941_black
Women Embroidered Relaxed Fit Tiered Dress,FUSION,0%,1699.00,1699.00,3.9,18,Women,Dresses & Gowns,/fusion-women-embroidered-relaxed-fit-tiered-dress/p/443032900_white
A-Line Dress with Embroidered Yoke,FUSION,50,825.00,1649.00,3.4,173,Women,Dresses & Gowns,/fusion-a-line-dress-with-embroidered-yoke/p/443016267_rust
Women Embellished Gown Dress,YoYo Fashion,68,1475.00,4609.00,3.8,6,Women,Dresses & Gowns,/yoyo-fashion-women-embellished-gown-dress/p/467271073_purple
Floral Print Fit & Flare Dress,DECKEDUP,65,840.00,2399.00,3.3,479,Women,Dresses & Gowns,/deckedup-floral-print-fit--flare-dress/p/465868909_navy
Floral Print Fit & Flare Dress,DECKEDUP,65,945.00,2699.00,3.6,39,Women,Dresses & Gowns,/deckedup-floral-print-fit--flare-dress/p/466641017_beige
Women Embroidered Tiered Dress,FUSION,0%,1699.00,1699.00,3.4,16,Women,Dresses & Gowns,/fusion-women-embroidered-tiered-dress/p/443032707_yellow
Foil Print Flared Dress,AVAASA SET,52,1032.00,2149.00,3.9,140,Women,Dresses & Gowns,/avaasa-set-foil-print-flared-dress/p/441149117_mint
Women Floral Print Relaxed Fit Layered Dress,FUSION,0%,1699.00,1699.00,3.5,10,Women,Dresses & Gowns,/fusion-women-floral-print-relaxed-fit-layered-dress/p/443026085_offwhite
Floral Fit and Flare Dress,NISHABD,61,899.00,2299.00,3.5,361,Women,Dresses & Gowns,/nishabd-floral-fit-and-flare-dress/p/466732154_blue
Embroidered A-Line Dress,AVAASA SET,50,2575.00,5149.00,3.6,228,Women,Dresses & Gowns,/avaasa-set-embroidered-a-line-dress/p/443013890_rosegold
Panelled Fit & Flare Dress,HELLO DESIGN,65,700.00,1999.00,3.5,284,Women,Dresses & Gowns,/hello-design-panelled-fit--flare-dress/p/462076842_yellow
Printed Fit & Flare Dress,AVAASA SET,29,1952.00,2749.00,4.3,169,Women,Dresses & Gowns,/avaasa-set-printed-fit--flare-dress/p/443014965_plum
Floral Print Fit & Flare Maxi Dress,AVAASA SET,52,888.00,1849.00,3.9,230,Women,Dresses & Gowns,/avaasa-set-floral-print-fit--flare-maxi-dress/p/443010302_burgandy
Women Printed Tiered Dress with Jacket,SIYAHI,0%,1299.00,1299.00,4.2,6,Women,Dresses & Gowns,/siyahi-women-printed-tiered-dress-with-jacket/p/443033371_lilac
Women Printed A-Line Dress,YOUSTA,0%,699.00,699.00,4.4,9,Women,Dresses & Gowns,/yousta-women-printed-a-line-dress/p/442592899_peach
Graphic Print Gown Dress,Amira's Indian Ethnic Wear,69,1674.00,5399.00,3.7,1000,Women,Dresses & Gowns,/amira-s-indian-ethnic-wear-graphic-print-gown-dress/p/464498909_orange
